Classifier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-0.995285332202911,-0.0923848524689674,-0.0295319091528654,0.442770153284073,0.893309354782104,-0.0771553292870522,-0.117270246148109,-0.904460728168488,-0.410120129585266,0.995106160640717,-0.0955590456724167,0.0251462236046791,0.989623308181763,-0.0161815471947193,0.142772138118744,0.59207683801651,0.805828392505646,-0.0092500289902091,0.169552266597748,-0.925484299659729,-0.338719427585602,0.994521677494049,-0.0536580793559551,-0.0897082537412643
0,-0.992522120475769,0.103773079812527,0.0642731040716171,0.334398299455643,0.941844820976257,-0.0332571789622307,-0.117822155356407,-0.903141558170319,-0.412859827280045,0.994680643081665,-0.100079894065857,0.024385079741478,0.968847692012787,0.169817477464676,0.18026702105999,0.491540402173996,0.869585394859314,0.0470021888613701,0.165193170309067,-0.921317756175995,-0.351972728967667,0.995245099067688,-0.0643320530653,-0.0731333196163177
0,-0.972977757453918,-0.21917824447155,-0.0726303607225418,-0.0214666780084372,0.999678313732147,-0.0135053880512714,-0.107137992978096,-0.898255467414856,-0.426214158535004,0.992335975170136,-0.123055636882782,0.0112495981156826,0.976415574550629,-0.214023783802986,0.028396125882864,0.0934812277555466,0.993174910545349,0.0697487071156502,0.172311052680016,-0.930275142192841,-0.323878288269043,0.994097054004669,-0.0637263581156731,-0.0878070592880249
0,-0.99976772069931,-0.00913957227021456,-0.0195217318832874,-0.0389733426272869,0.999159634113312,0.0126874344423413,-0.110941797494888,-0.905993223190308,-0.408495098352432,0.994499087333679,-0.10331354290247,0.0172602031379938,0.99843293428421,0.0407167561352253,0.0383903309702873,0.0613656155765057,0.993932604789734,0.0912816077470779,0.164427846670151,-0.928353190422058,-0.333352476358414,0.995687067508698,-0.05832489579916,-0.0721495449542999
0,-0.973892152309418,-0.188960999250412,-0.125808656215668,-0.282579064369202,0.959186315536499,-0.0105247739702463,-0.107182942330837,-0.904483139514923,-0.412822067737579,0.994450747966766,-0.104427821934223,0.0127486549317837,0.985010325908661,-0.172072291374207,-0.0120727047324181,-0.264568269252777,0.960637807846069,0.0847263336181641,0.169802203774452,-0.931571483612061,-0.321468114852905,0.994875907897949,-0.0548638254404068,-0.0849224328994751
1,-0.578383982181549,0.28543409705162,-0.764198482036591,0.173082500696182,0.974722921848297,0.14127142727375,-0.0294035635888577,-0.893613338470459,-0.447873413562775,0.985209882259369,-0.166629672050476,-0.0399511493742466,0.615288078784943,0.312879383563995,-0.723551690578461,0.288612723350525,0.951068758964539,-0.110321588814259,0.122153505682945,-0.802897453308105,-0.583467364311218,0.863651216030121,-0.503642737865448,0.0212242752313614
1,-0.702530682086945,0.272261887788773,-0.657513618469238,0.139299765229225,0.983930170536041,0.111700616776943,-0.0509860850870609,-0.901181757450104,-0.430432289838791,0.985619843006134,-0.168908834457397,-0.00482876319438219,0.704954087734222,0.316586166620255,-0.6346755027771,0.301734238862991,0.947580993175507,-0.105103828012943,0.11356171220541,-0.805552363395691,-0.581540286540985,0.861206650733948,-0.507415413856506,0.0291996467858553
1,-0.808750212192535,0.17717906832695,-0.560830295085907,0.34501701593399,0.91261887550354,0.219294294714928,-0.0735934302210808,-0.899969935417175,-0.42969536781311,0.978560984134674,-0.205830678343773,-0.00721309892833233,0.784911155700684,0.29033163189888,-0.547377347946167,0.317238301038742,0.944660007953644,-0.0835315063595772,0.0508698336780071,-0.895111322402954,-0.442931234836578,0.952702641487122,-0.299951016902924,0.0488591976463795
1,-0.466553807258606,0.397037506103516,-0.790372550487518,0.269331514835358,0.95309990644455,0.138061821460724,-0.0595815815031528,-0.890351295471191,-0.451358556747437,0.97758275270462,-0.209694355726242,-0.0189826916903257,0.366649925708771,0.405003219842911,-0.837579965591431,0.32609623670578,0.92602926492691,-0.190082013607025,0.125880762934685,-0.855648338794708,-0.502015829086304,0.917643666267395,-0.396438956260681,-0.0276834238320589
1,-0.814371347427368,0.183657974004745,-0.550517022609711,0.298553377389908,0.938174366950989,0.175198972225189,-0.0886768475174904,-0.946800231933594,-0.309363514184952,0.997402966022491,-0.0692466869950294,0.0198040623217821,0.810406565666199,0.263029903173447,-0.523504018783569,0.284657746553421,0.95715993642807,-0.0530543960630894,0.146525979042053,-0.869242310523987,-0.472173631191254,0.903838992118835,-0.426682531833649,0.0318890437483788
2,-0.693398714065552,0.715323448181152,0.0866634175181389,0.664628922939301,0.744566917419434,-0.0623578950762749,-0.106642208993435,-0.893333911895752,-0.436556905508041,0.988348364830017,-0.148726940155029,0.0323724858462811,0.472369343042374,0.881348133087158,0.00962825585156679,0.853866457939148,0.518745541572571,0.0426048710942268,0.102379530668259,-0.881741464138031,-0.460489302873611,0.982329189777374,-0.187047109007835,-0.00654204562306404
2,-0.777985572814941,0.606346666812897,0.164566487073898,0.619093656539917,0.777416110038757,-0.111118003726006,-0.135783955454826,-0.88722425699234,-0.440903395414352,0.970227479934692,-0.238007843494415,0.0448431894183159,0.659162819385529,0.744148552417755,0.108384914696217,0.803966522216797,0.592093110084534,0.055349089205265,0.180560350418091,-0.851581394672394,-0.492145419120789,0.95252001285553,-0.299993813037872,-0.0520511567592621
2,-0.488443553447723,0.860711216926575,0.143523886799812,0.785305380821228,0.605066478252411,-0.131110623478889,-0.106628268957138,-0.904191553592682,-0.413603693246841,0.991946280002594,-0.121851123869419,0.0345665104687214,0.3554627597332,0.934367835521698,0.0245553329586983,0.892386376857758,0.43964958190918,0.101758755743504,0.0645931735634804,-0.879155158996582,-0.472137570381165,0.981007158756256,-0.186351552605629,0.0538327917456627
2,-0.700949490070343,0.68593692779541,0.195346668362617,0.720612764358521,0.67687714099884,-0.150182262063026,-0.133486464619637,-0.891990125179291,-0.431897044181824,0.972753047943115,-0.227794885635376,0.0431399270892143,0.637375056743622,0.766605079174042,0.0779081881046295,0.88836658000946,0.451269179582596,0.0846223458647728,0.173744544386864,-0.848866879940033,-0.499237239360809,0.950673341751099,-0.307315558195114,-0.0421591848134995
2,-0.45810928940773,0.885779500007629,0.0743676275014877,0.842319846153259,0.531166255474091,-0.0914314836263657,-0.0985362902283669,-0.909122228622437,-0.404706507921219,0.992146551609039,-0.122262701392174,0.0264037065207958,0.357837647199631,0.933630228042603,0.0169338490813971,0.915242373943329,0.394240438938141,0.0831018015742302,0.0652870312333107,-0.893197655677795,-0.444899499416351,0.983543217182159,-0.170821592211723,0.0588441900908947
3,-0.382223635911942,0.784127712249756,-0.48892617225647,0.94180691242218,0.301595062017441,0.148458898067474,-0.06637242436409,-0.871062636375427,-0.486666798591614,0.973495781421661,-0.227402344346046,0.0243773423135281,0.390404671430588,0.781781136989594,-0.486212313175201,0.931156814098358,0.314641356468201,-0.184249475598335,0.0703755840659142,-0.891180574893951,-0.448156833648682,0.981225550174713,-0.192507058382034,0.0117234354838729
3,-0.299470782279968,0.796644449234009,-0.525047421455383,0.880516707897186,0.305559247732162,0.362386405467987,-0.0477647818624973,-0.90615451335907,-0.420241087675095,0.989230811595917,-0.145798608660698,0.0128448344767094,0.240217119455338,0.823083877563477,-0.514615118503571,0.933473229408264,0.198416277766228,-0.298762023448944,0.110262185335159,-0.906781017780304,-0.406928092241287,0.988409578800201,-0.151205271482468,-0.0135484645143151
3,-0.585215508937836,0.731862425804138,-0.349142104387283,0.876149952411652,0.395174592733383,0.276040285825729,-0.0307760294526815,-0.929025292396545,-0.368734121322632,0.994113564491272,-0.107582233846188,0.0128203416243196,0.564244329929352,0.739540934562683,-0.367025256156921,0.955427229404449,0.240253299474716,-0.17157256603241,0.113044895231724,-0.924529194831848,-0.363959610462189,0.990384876728058,-0.137598067522049,-0.0143069541081786
3,-0.615978419780731,0.780686259269714,-0.105354681611061,0.839115619659424,0.533701717853546,0.105106614530087,-0.0639737397432327,-0.900049388408661,-0.43106672167778,0.980481803417206,-0.194421097636223,0.0292577911168337,0.586459517478943,0.79878968000412,-0.134165018796921,0.937793493270874,0.339495033025742,-0.0727080553770065,0.0528940409421921,-0.889891028404236,-0.453096300363541,0.968891024589539,-0.245696663856506,0.0297209229320288
3,-0.433137714862823,0.741616547107697,-0.512246608734131,0.824005782604218,0.446751981973648,0.34846368432045,-0.0667877048254013,-0.947691440582275,-0.312122285366058,0.996405780315399,-0.0516613982617855,0.0671313777565956,0.359381318092346,0.757871747016907,-0.544495582580566,0.911528706550598,0.33989006280899,-0.231495290994644,0.0618397928774357,-0.90374231338501,-0.423586755990982,0.983021318912506,-0.181104555726051,0.02949826605618